epoch,step,test/reward,train/loss,train/reward,val/reward
275,2207,,,,-110.48200225830078
276,2215,,,,-110.46499633789062
277,2223,,,,-110.2030029296875
278,2231,,,,-110.41799926757812
279,2239,,,,-110.43499755859375
280,2247,,,,-110.53500366210938
281,2249,,-50.303367614746094,-109.890625,
281,2255,,,,-110.2750015258789
282,2263,,,,-110.36100006103516
283,2271,,,,-110.39900207519531
284,2279,,,,-110.25800323486328
285,2287,,,,-110.1729965209961
286,2295,,,,-110.3270034790039
287,2299,,-19.445600509643555,-110.8203125,
287,2303,,,,-110.09500122070312
288,2311,,,,-110.23400115966797
289,2319,,,,-110.35199737548828
290,2327,,,,-110.44499969482422
291,2335,,,,-110.5459976196289
292,2343,,,,-110.58699798583984
293,2349,,-32.70122146606445,-111.17578125,
293,2351,,,,-110.56900024414062
294,2359,,,,-110.16200256347656
295,2367,,,,-110.56099700927734
296,2375,,,,-110.4219970703125
297,2383,,,,-110.1500015258789
298,2391,,,,-110.41000366210938
299,2399,,-62.834449768066406,-111.4519271850586,
299,2399,,,,-109.9800033569336
300,2407,,,,-110.16600036621094
301,2415,,,,-110.18299865722656
302,2423,,,,-110.37200164794922
303,2431,,,,-110.14199829101562
304,2439,,,,-110.26699829101562
305,2447,,,,-110.11399841308594
306,2449,,-44.66162109375,-112.13671875,
306,2455,,,,-110.21299743652344
307,2463,,,,-110.46600341796875
308,2471,,,,-110.31800079345703
309,2479,,,,-110.20600128173828
310,2487,,,,-110.04100036621094
311,2495,,,,-110.28399658203125
312,2499,,11.697096824645996,-109.79296875,
312,2503,,,,-110.22200012207031
313,2511,,,,-110.09200286865234
314,2519,,,,-110.15899658203125
315,2527,,,,-110.01399993896484
316,2535,,,,-109.96700286865234
317,2543,,,,-110.14700317382812
318,2549,,-32.7320442199707,-111.28515625,
318,2551,,,,-110.25499725341797
319,2559,,,,-110.36199951171875
320,2567,,,,-110.41100311279297
321,2575,,,,-110.34200286865234
322,2583,,,,-110.27999877929688
323,2591,,,,-110.05599975585938
324,2599,,-46.47914505004883,-111.54808044433594,
324,2599,,,,-110.31999969482422
325,2607,,,,-110.23899841308594
326,2615,,,,-110.48699951171875
327,2623,,,,-110.29199981689453
328,2631,,,,-110.21299743652344
329,2639,,,,-110.1050033569336
330,2647,,,,-110.30500030517578
331,2649,,-6.744110107421875,-110.640625,
331,2655,,,,-110.2300033569336
332,2663,,,,-110.63899993896484
333,2671,,,,-110.40399932861328
334,2679,,,,-110.04499816894531
335,2687,,,,-110.03199768066406
336,2695,,,,-110.31199645996094
337,2699,,-30.85881805419922,-110.70703125,
337,2703,,,,-110.32599639892578
338,2711,,,,-110.2239990234375
339,2719,,,,-110.27799987792969
340,2727,,,,-110.41300201416016
341,2735,,,,-110.31800079345703
342,2743,,,,-110.24099731445312
343,2749,,-26.593616485595703,-109.69921875,
343,2751,,,,-110.3499984741211
344,2759,,,,-110.30000305175781
345,2767,,,,-110.38800048828125
346,2775,,,,-110.48100280761719
347,2783,,,,-110.6709976196289
348,2791,,,,-110.28399658203125
349,2799,,-35.9557991027832,-110.94231414794922,
349,2799,,,,-110.3550033569336
350,2807,,,,-110.0989990234375
351,2815,,,,-110.16799926757812
352,2823,,,,-109.9530029296875
353,2831,,,,-110.09300231933594
354,2839,,,,-110.1760025024414
355,2847,,,,-110.2969970703125
356,2849,,-34.22528076171875,-112.05859375,
356,2855,,,,-110.29900360107422
357,2863,,,,-110.20700073242188
358,2871,,,,-110.21900177001953
359,2879,,,,-110.2760009765625
360,2887,,,,-110.41999816894531
361,2895,,,,-110.5510025024414
362,2899,,-37.662559509277344,-111.58984375,
362,2903,,,,-110.40699768066406
363,2911,,,,-110.19599914550781
364,2919,,,,-110.16100311279297
365,2927,,,,-110.41200256347656
366,2935,,,,-110.39399719238281
367,2943,,,,-110.06600189208984
368,2949,,6.385499000549316,-110.48828125,
368,2951,,,,-110.19300079345703
369,2959,,,,-110.46299743652344
370,2967,,,,-110.29499816894531
371,2975,,,,-110.29900360107422
372,2983,,,,-110.31700134277344
373,2991,,,,-110.38800048828125
374,2999,,-8.306084632873535,-110.55288696289062,
374,2999,,,,-110.2249984741211
375,3007,,,,-110.2030029296875
376,3015,,,,-110.26200103759766
377,3023,,,,-110.375
378,3031,,,,-110.26799774169922
379,3039,,,,-109.98699951171875
380,3047,,,,-110.13600158691406
381,3049,,-32.394229888916016,-109.8984375,
381,3055,,,,-110.37100219726562
382,3063,,,,-110.10299682617188
383,3071,,,,-110.27899932861328
384,3079,,,,-110.69599914550781
385,3087,,,,-110.53199768066406
386,3095,,,,-110.302001953125
387,3099,,-7.326716899871826,-111.0703125,
387,3103,,,,-110.09200286865234
388,3111,,,,-110.12699890136719
389,3119,,,,-110.2979965209961
390,3127,,,,-110.28600311279297
391,3135,,,,-109.99600219726562
392,3143,,,,-110.45999908447266
393,3149,,-26.145275115966797,-109.8515625,
393,3151,,,,-110.0999984741211
394,3159,,,,-110.33899688720703
395,3167,,,,-110.30899810791016
396,3175,,,,-110.41699981689453
397,3183,,,,-110.29000091552734
398,3191,,,,-110.2699966430664
399,3199,,-25.293415069580078,-112.0144271850586,
399,3199,,,,-110.5199966430664
400,3207,,,,-110.37000274658203
401,3215,,,,-110.31900024414062
402,3223,,,,-110.40699768066406
403,3231,,,,-110.3270034790039
404,3239,,,,-110.5199966430664
405,3247,,,,-110.4000015258789
406,3249,,-1.3024213314056396,-111.328125,
406,3255,,,,-110.3010025024414
407,3263,,,,-110.44000244140625
408,3271,,,,-110.34400177001953
409,3279,,,,-110.48100280761719
410,3287,,,,-110.06600189208984
411,3295,,,,-110.2040023803711
412,3299,,-32.22665023803711,-110.21484375,
412,3303,,,,-110.30699920654297
413,3311,,,,-110.1989974975586
414,3319,,,,-110.25299835205078
415,3327,,,,-110.36399841308594
416,3335,,,,-110.30000305175781
417,3343,,,,-110.0270004272461
418,3349,,21.351703643798828,-109.82421875,
418,3351,,,,-110.14700317382812
419,3359,,,,-110.03600311279297
420,3367,,,,-110.08100128173828
421,3375,,,,-109.80699920654297
422,3383,,,,-110.13999938964844
423,3391,,,,-110.48799896240234
424,3399,,-36.12510299682617,-109.93750762939453,
424,3399,,,,-110.375
425,3407,,,,-109.77899932861328
426,3415,,,,-110.27300262451172
427,3423,,,,-109.93099975585938
428,3431,,,,-109.90699768066406
429,3439,,,,-110.0260009765625
430,3447,,,,-109.98100280761719
431,3449,,-33.56593322753906,-111.36328125,
431,3455,,,,-110.3550033569336
432,3463,,,,-110.37100219726562
433,3471,,,,-110.19599914550781
434,3479,,,,-110.1709976196289
435,3487,,,,-110.02799987792969
436,3495,,,,-110.2979965209961
437,3499,,-3.892782211303711,-110.58203125,
437,3503,,,,-109.93599700927734
438,3511,,,,-110.20999908447266
439,3519,,,,-110.21199798583984
440,3527,,,,-110.15299987792969
441,3535,,,,-110.0260009765625
442,3543,,,,-110.18099975585938
443,3549,,-26.043460845947266,-111.35546875,
443,3551,,,,-110.2979965209961
444,3559,,,,-110.08000183105469
445,3567,,,,-110.01599884033203
446,3575,,,,-109.98400115966797
447,3583,,,,-110.0780029296875
448,3591,,,,-110.11699676513672
449,3599,,-24.770442962646484,-112.2019271850586,
449,3599,,,,-110.11399841308594
450,3607,,,,-110.05400085449219
451,3615,,,,-109.98100280761719
452,3623,,,,-110.18699645996094
453,3631,,,,-110.51300048828125
454,3639,,,,-110.29199981689453
455,3647,,,,-109.98400115966797
456,3649,,-23.977493286132812,-111.08203125,
456,3655,,,,-110.21800231933594
457,3663,,,,-110.1780014038086
458,3671,,,,-110.47599792480469
459,3679,,,,-110.39700317382812
460,3687,,,,-110.20500183105469
461,3695,,,,-110.67400360107422
462,3699,,-31.506813049316406,-111.02734375,
462,3703,,,,-110.77300262451172
463,3711,,,,-110.43800354003906
464,3719,,,,-110.37100219726562
465,3727,,,,-110.25800323486328
466,3735,,,,-110.2300033569336
467,3743,,,,-110.51100158691406
468,3749,,-40.197174072265625,-111.04296875,
468,3751,,,,-110.49500274658203
469,3759,,,,-109.99800109863281
470,3767,,,,-110.1780014038086
471,3775,,,,-110.05500030517578
472,3783,,,,-110.15499877929688
473,3791,,,,-110.37899780273438
474,3799,,-13.343155860900879,-110.7644271850586,
474,3799,,,,-110.31099700927734
475,3807,,,,-110.20800018310547
476,3815,,,,-110.2239990234375
477,3823,,,,-110.29399871826172
478,3831,,,,-110.17900085449219
479,3839,,,,-110.2760009765625
480,3847,,,,-110.26000213623047
481,3849,,3.5217790603637695,-110.03125,
481,3855,,,,-110.1240005493164
482,3863,,,,-110.10700225830078
483,3871,,,,-110.17500305175781
484,3879,,,,-110.16500091552734
485,3887,,,,-110.26399993896484
486,3895,,,,-110.39199829101562
487,3899,,-1.2692562341690063,-111.05859375,
487,3903,,,,-110.19300079345703
488,3911,,,,-110.18299865722656
489,3919,,,,-110.31800079345703
490,3927,,,,-110.25900268554688
491,3935,,,,-110.68399810791016
492,3943,,,,-110.25900268554688
493,3949,,-69.79313659667969,-111.1171875,
493,3951,,,,-110.1240005493164
494,3959,,,,-110.2300033569336
