epoch,step,train/loss,train/reward,val/reward
123,991,,,-110.52300262451172
124,999,-36.89202880859375,-113.02404022216797,
124,999,,,-110.55599975585938
125,1007,,,-110.49500274658203
126,1015,,,-110.89700317382812
127,1023,,,-110.99199676513672
128,1031,,,-111.21199798583984
129,1039,,,-111.11100006103516
130,1047,,,-110.63500213623047
131,1049,-18.033313751220703,-111.57421875,
131,1055,,,-110.38700103759766
132,1063,,,-110.12999725341797
133,1071,,,-110.64700317382812
134,1079,,,-110.48300170898438
135,1087,,,-110.20999908447266
136,1095,,,-110.35600280761719
137,1099,-29.9647159576416,-110.84765625,
137,1103,,,-110.22200012207031
138,1111,,,-110.28299713134766
139,1119,,,-110.36299896240234
140,1127,,,-110.61399841308594
141,1135,,,-110.31700134277344
142,1143,,,-110.66899871826172
143,1149,-21.65304946899414,-110.23828125,
143,1151,,,-110.43800354003906
144,1159,,,-110.31600189208984
145,1167,,,-110.6719970703125
146,1175,,,-110.5009994506836
147,1183,,,-111.01799774169922
148,1191,,,-111.29900360107422
149,1199,-26.30963897705078,-111.51923370361328,
149,1199,,,-110.5510025024414
150,1207,,,-111.36799621582031
151,1215,,,-111.26300048828125
152,1223,,,-111.09200286865234
153,1231,,,-110.44100189208984
154,1239,,,-110.29199981689453
155,1247,,,-110.40399932861328
156,1249,-20.472259521484375,-111.01953125,
156,1255,,,-110.68199920654297
157,1263,,,-110.66500091552734
158,1271,,,-110.49400329589844
159,1279,,,-110.2699966430664
160,1287,,,-110.35800170898438
161,1295,,,-110.43800354003906
162,1299,-19.837146759033203,-111.12890625,
162,1303,,,-110.2490005493164
163,1311,,,-110.3550033569336
164,1319,,,-110.70800018310547
165,1327,,,-110.7249984741211
166,1335,,,-110.38300323486328
167,1343,,,-110.24099731445312
168,1349,-36.89647674560547,-111.36328125,
168,1351,,,-110.65499877929688
169,1359,,,-110.4469985961914
